식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
마카롱,480,6.92,30.11,45.23,41.94,47,26.1,14.96,0.26,2,0,2,2,2
마파두부,135.8,8.258,7.808,7.956,2.09,298,6.554,1.292,0.03,0,1,1,0,1
고기만두,183.5,10.88,5.515,22.595,0.325,233.5,13.63,1.51,0.025,1,1,0,0,1
군만두,234,7.03,11.5,25.57,2.77,385,9.49,3.28,0.06,1,0,1,0,1
김치만두,169.5,9.185,5.675,20.42,0.51,408,15.475,1.235,0.01,1,1,0,0,1
물만두,195,8.06,11.13,15.61,2.13,332,12.13,3.08,0.05,1,1,1,0,1
만두국,62,3.06,2.49,6.83,0.44,338,13.5,0.61,0.01,0,0,0,0,0
만두전골,57,3.61,2.23,5.55,0.7,250,5.84,0.55,0.01,0,0,0,0,0
만두탕수,89,2.925,3.6125,11.2,1.705,163.5,2.145,0.955,,0,0,0,0,0
맛살전,217.2,9.896,7.004,27.658,3.204,904.4,49.88,1.266,0.06,1,1,1,0,1
망둥어찌개,44,5.9,0.85,3.4,1.08,483,21.55,0.13,,0,0,0,0,0
망둥어찜,52,8.5,0.7,2.96,0.68,202,36.7,0.12,,0,1,0,0,0
매생이국,24,2,0.56,2.68,0.08,284,1.32,0.12,0.02,0,0,0,0,0
매실장아찌,243,1.65,0.43,58.11,38.16,1126,0,0.08,0,2,0,0,2,1
매운 어묵볶음,90,5.1,2.93,11.02,2.38,397,8.01,0.5,,0,0,0,0,0
매운탕,70,9.74,2.77,1.52,0.24,300,62.51,0.51,0.01,0,1,0,0,0
매작과,413,7.51,13.15,66.11,16.42,99,33.42,2.35,0.1,2,1,1,1,2
머위나물,25,1.5,1.34,2.42,0.41,184,0,0.16,,0,0,0,0,0
머위나물무침,85,1.62,7.66,2.49,0.44,452,0,0.82,0.06,0,0,1,0,0
머위나물볶음,72,2.33,4.67,5.07,1.2,479,0,0.53,0,0,0,0,0,0
머위대나물무침,58,3.96,2.56,4.76,0.34,363,25.22,0.32,0.02,0,0,0,0,0
머핀,384,5.73,13.84,59.15,39.65,411,59.16,6.86,0.15,2,0,1,2,2
메기 매운탕,59,4,1.46,7.39,0.69,264,10.42,0.42,,0,0,0,0,0
메기찜,71,7.3,2.33,5.37,0.77,150,20.83,0.6,,0,0,0,0,0
메밀국수_온면,63,3.14,0.29,12.06,0,194,0,0.12,0,0,0,0,0,0
메밀묵 무침,65,1.6,1.27,12.05,1.46,249,0,0.21,,0,0,0,0,0
메밀묵국,63,1.55,1.245,11.64,1.4125,240,0,0.205,,0,0,0,0,0
메밀소바,86,2.49,0.32,17.96,1.44,254,0,0.08,,1,0,0,0,0
마제소바,146,5.68,4.22,21.44,3.06,310,29.47,0.95,0.02,1,0,0,0,1
메밀전,161,4.02,0.64,34.79,0.3,145,0,0.26,0,1,0,0,0,1
메추리알 돼지고기장조림,127.25,12.85,5.78,4.8575,1.54,348,125.015,1.99,,0,1,0,0,1
메추리알 어묵조림,179.6666667,10.63333333,7.25,17.62333333,8.226666667,917,200.4166667,1.813333333,,1,1,1,1,1
멕시컨샐러드,102.3333333,4.7,7.31,4.78,2.766666667,308.3333333,39.1,1.723333333,,0,0,1,0,0
멘보샤,289,10.52,21.6,13.22,1,696,69.91,3.57,0.14,0,1,2,0,2
멸치 미역국,9,1.1,0.38,0.71,0,375,2.38,0.07,,0,0,0,0,0
멸치볶음,154.5,21.035,4.3275,7.2675,4.1825,1228.25,202.7625,0.875,0.04,0,2,0,0,1
멸치젓_양념,90,11.4,1.6,7.4,0.6,6667,117.6,0.8,0,0,1,0,0,0
멸치조림,183.6,20.184,7.996,6.986,4.026,1529.4,149.876,1.402,0.09,0,2,1,0,1
명란젓_양념,147,17.96,6.54,3.98,0,2044,247.92,0.72,0.05,0,1,1,0,1
명란찌개,27,3.1,0.58,2.74,0.84,367,44.64,0.08,,0,0,0,0,0
명란찜,61,7.1,2.24,3.1,1.28,1130,111.82,0.41,,0,0,0,0,0
명태 매운탕,49,7.1,1.03,3.15,0.79,58,16.7,0.16,,0,0,0,0,0
모닝빵,314,9.5,7.43,52.17,7.97,489,40.54,3.03,0.06,2,1,1,1,2
모듬 초밥,188.5,9.9,3.035,28.775,2.375,369.5,61.48,0.875,,1,1,0,0,1
모듬 콩조림,181,11.1,9.11,15.38,3.85,321,0,1.55,,1,1,1,0,1
모듬배추나물,32,1.7,1.27,4.005,1.365,296,0,0.2,,0,0,0,0,0
모듬버섯볶음,69,3,4.56,6.82,2,430,2.13,0.75,,0,0,0,0,0
모듬찰떡,225.5,6.545,3.28,42.43,3.05,195.5,0,0.465,0.005,2,0,0,0,1
모듬채소전,154,3.4,5.65,21.32,1.21,173,8.83,0.91,,1,0,0,0,1
모듬채소전골,20,1.8,0.6,2.1,0.61,145,1.3,0.14,,0,0,0,0,0
모듬회,133,22.5,2.31,5.15,2.44,493,42.14,0.44,,0,2,0,0,1
모밀국수,123,4.525,0.4175,24.91,1.8475,359,0,0.1175,,1,0,0,0,1
모자반무침,19,1.29,0.4,4.36,1.3,186,0.01,0.07,,0,0,0,0,0
모카빵,339,8.55,8.05,57.96,12.53,354,52.07,3.76,0.31,2,1,1,1,2
몸국,22,2.9,0.65,1.54,0.4,119,5.86,0.21,,0,0,0,0,0
무 된장국,17.5,1.45,0.3975,2.0975,0.705,238.25,6.925,0.0775,,0,0,0,0,0
무 북어국,24.75,3.675,0.65,1.025,0.3625,162,19.85,0.1625,,0,0,0,0,0
무 어묵조림,110.5,6.3,3.06,14.75,4.285,622.5,9.11,0.535,,1,0,0,0,1
무 파래무침,23,1.1,0.38,4.86,2.62,221,0,0.07,,0,0,0,0,0
무국,7,0.28,0.17,1.24,0.39,180.5,0.005,0.03,,0,0,0,0,0
무나물,29.75,0.6,1.6575,3.295,1.2725,408,0,0.235,,0,0,0,0,0
무나물무침,21,0.62,0.46,3.64,3.3,352,0,0.04,0,0,0,0,0,0
무말랭이무침,106.2857143,2.99,1.171428571,21.43571429,8.79,537,1.665714286,0.35,0.016666667,1,0,0,1,0
무말랭이장아찌,117,4.1,3.23,18.34,6.61,1287,0,0.51,,1,0,0,1,1
무밥,177,3.7,1.06,36.68,0.79,198,0,0.21,,2,0,0,0,1
무생채,39,1.3575,0.8025,7.1125,3.33,500,2.0225,0.125,0.02,0,0,0,0,0
무숙장아찌,93,3.7,6.44,4.78,2.36,1391,12.6,2.07,,0,0,1,0,0
무장아찌,98,1.985,3.365,15.505,8.53,1646,0.065,0.48,0,1,0,0,1,0
무조림,47.6,2.452,1.064,7.762,2.866,1023.8,0.128,0.174,0.04,0,0,0,0,0
무지개떡,229,3.53,0.31,53.01,8.99,277,0,0.16,0,2,0,0,1,1
무짠지,11,0.54,0.12,1.98,1.58,2382,0,0.02,0,0,0,0,0,0
무청나물,80,2.8,5.44,6.04,0.32,367,0,0.81,,0,0,0,0,0
치킨무,17,0.52,0.3,3.05,1.75,189,0,0.02,0,0,0,0,0,0
묵국,22,1,0.4,3.57,0.28,238,0,0.03,0,0,0,0,0,0
묵말이,36,0.52,0.65,6.9,0.48,247,0,0.09,0,0,0,0,0,0
묵무침,60,0.61,1.635,10.65,1.125,221.5,0,0.205,0.005,0,0,0,0,0
묵밥,69.25,2.34,0.7125,13.1425,0.765,123.75,1.1225,0.1825,0,0,0,0,0,0
문어무침,66.5,7.6,2.07,5.125,1.675,342.5,60.815,0.3,,0,1,0,0,0
문어볶음,67,5.9,2.63,5.55,3.65,240,47,0.39,,0,0,0,0,0
물김치,5,0.31,0.08,0.75,0.35,237,0,0.01,0,0,0,0,0,0
물회,76,4.91,2.7,7.9,2.86,299,17.18,0.4,0.01,0,0,0,0,0
미꾸라지튀김,387,10.89,25.39,28.85,0.3,324,50.15,3.89,0.15,1,1,2,0,2
미나리 초무침,46.33333333,1.966666667,1.333333333,8.216666667,4.33,541.6666667,0,0.216666667,,0,0,0,0,0
미나리나물,59,2.03,3.67,4.48,0,301,0,0.5,0.02,0,0,0,0,0
미나리무침,28.66666667,1.103333333,1.276666667,3.71,1.676666667,370,0,0.186666667,0.01,0,0,0,0,0
미나리전,151,3.49,5.08,22.82,1.16,166,7.92,0.82,0.04,1,0,0,0,1
미더덕찜,77,7.7,1.82,8.05,1.18,391,35.08,0.29,,0,1,0,0,0
미소된장국,20.6,1.578,0.87,1.862,0.382,282,0.064,0.124,0,0,0,0,0,0
미역 된장국,13.5,1.2,0.495,1.625,0.28,295.5,0.2,0.09,,0,0,0,0,0
미역 오이무침,59.66666667,1.833333333,1.286666667,13.13666667,6.8,843.3333333,0,0.213333333,,0,0,0,1,0
미역국,9.4,0.93,0.46,0.898,0.056,349,4.158,0.072,0,0,0,0,0,0
미역줄기볶음,66.33333333,1.398333333,5.33,4.388333333,0.753333333,659.1666667,0.373333333,0.76,0.055,0,0,0,0,0
미역초무침,43,1.616666667,0.736666667,8.22,4.303333333,485,0.38,0.11,0,0,0,0,0,0
미역튀각,403,13.82,32.06,24.725,7.31,4605,0,5.07,0.48,1,1,2,1,2
미트 스파게티,109,4.3,1.923333333,18.58333333,2.82,136,5,0.49,,1,0,0,0,0
미트볼조림,157,7.99,8.198,13.63,6.64,389.8,18.252,2.408,0.08,1,1,1,1,1
민들레무침,27,1.2,0.72,4.56,1.61,244,0,0.1,,0,0,0,0,0
민들레잎무침,81,2.69,2.33,12.32,8.16,248,0,0.21,0.01,0,0,0,1,0
민어 매운탕,35,4.5,0.79,2.98,0.92,140,9.02,0.15,,0,0,0,0,0
민어구이,106,12.6,5.53,0.38,0,703,40.6,0.89,,0,1,0,0,0
밀면_물밀면,71,2.46,0.5,14.19,3.68,303,7.37,0.15,0,1,0,0,0,0
밀푀유나베,55,4.13,3.11,2.52,1.5,397,7.99,0.39,0.06,0,0,0,0,0
바게트,258,8.95,1.21,51.58,0,537,0,0.16,0,2,1,0,0,2
바지락 된장국,16,1.6,0.35,1.78,0.41,130,0.59,0.06,,0,0,0,0,0
바지락 미역국,13,1.9,0.28,1.22,0.1,304,1.27,0.06,,0,0,0,0,0
바지락 수제비,37,1.5,0.47,6.3,0.195,171,6.935,0.11,,0,0,0,0,0
바지락국,17,2.2,0.516666667,0.74,0.11,224,1.236666667,0.09,,0,0,0,0,0
바지락찜,83,8,1.71,9.15,4.59,830,6.02,0.32,,0,1,0,0,0
밤밥,152,3.4,0.23,32.65,0.42,3,0,0.07,,1,0,0,0,1
방풍나물무침,76,4.39,1.73,10.74,2.91,267,0,0.23,0,0,0,0,0,0
배추 겉절이,33,1.67,0.805714286,5.645714286,2.708571429,590.8571429,0.821428571,0.128571429,0,0,0,0,0,0
배추 된장국,14.5,1.175,0.3425,1.9125,0.68,222,1.8775,0.06,,0,0,0,0,0
배추국,9,1.3,0.1,0.89,0.37,112.3333333,10.48333333,0.03,,0,0,0,0,0
배추김치,38,1.98,0.43,6.49,2.4,551,0,0.07,0,0,0,0,0,0
배추나물,48.6,2.242,1.738,6.774,3.656,397.6,0,0.262,0.03,0,0,0,0,0
배추숙주나물,22,1.5,0.62,3.58,1.33,127,0,0.11,,0,0,0,0,0
배추전,122.25,3.285,5.9825,13.66,2.0125,463.75,26.1025,1.02,0.05,1,0,0,0,1
백김치,16,0.95,0.07,3,1.04,395,0,0.01,0.01,0,0,0,0,0
백설기,227,3.745,1.175,50.34,3.95,250.5,0,0.155,0,2,0,0,0,1
백합죽,65,2.36,0.8,12.1,0,142,4.59,0.19,0,0,0,0,0,0
밴댕이무침,150,7.45,8.25,11.5,6.75,257,25.38,1.15,0.05,0,1,1,1,1
뱅어포구이,325.5,32.785,12.02,21.595,11.42,1516,497.82,2.47,0.11,1,2,1,1,2
뱅어포무침,391,46,16.995,10.91,5.225,1199,829.085,3.46,,0,2,1,0,2
뱅어포튀김,732,41.2,45.09,34.04,0,414,694.54,7.47,,1,2,2,0,2
버섯 덮밥,101,2.6,1.63,18.47,0.54,63,4.14,0.64,,1,0,0,0,0
버섯 매운탕,45,2.4,1.36,6.93,1.46,160,4.14,0.4,,0,0,0,0,0
버섯 샤브샤브,27,2,1.36,2.46,0.48,143,4.47,0.41,,0,0,0,0,0
버섯 잡채,149,4.8,12.22,6.28,1.94,207,11.84,2.87,,0,0,1,0,1
버섯구이,52,5.16,1.38,4.78,0.11,492,0,0.41,0.01,0,0,0,0,0
버섯국,42,3.3,2.43,2.71,0.5,161,7.66,0.72,,0,0,0,0,0
버섯무침,59,2.74,3.77,3.44,0.09,311,0,0.46,0.01,0,0,0,0,0
버섯볶음,94,2.8,6.2,6.78,4.24,524,0,0.8,0.04,0,0,1,0,0
버섯전,173.8,6.084,8.464,18.92,0.868,524.8,49.54,1.448,0.04,1,0,1,0,1
버섯전골,44.5,3.11,2.3125,3.5275,0.6375,215,6.105,0.5725,0.11,0,0,0,0,0
버섯조림,46.5,3.21,1.37,6.53,1.75,281,0.225,0.8,0.06,0,0,0,0,0
버섯찌개,45.2,3.216,1.62,5.932,1.732,383.8,4.232,0.454,0.03,0,0,0,0,0
버터빵_버터롤,320,8,11,48,11,410,15,6,0.35,2,1,1,1,2
딸기번,424,8.42,15.79,62.11,10.53,315,30,6.32,0,2,1,1,1,2
로띠번,369,9.47,12.63,53.68,12.63,305,,8.42,,2,1,1,1,2
번데기탕,23,2.2,1.48,0.42,0.18,109,16.7,0.25,,0,0,0,0,0
베이글,306,10,5.83,53.48,4.58,695,0,0.58,0.01,2,1,0,0,2
베이컨떡말이구이,239.5,6.3,10.58,29.925,3.765,582,13.645,2.4,,1,0,1,0,1
베이컨채소볶음,142,6.3,8.81,10.06,4.78,241,18.77,2.39,,0,0,1,0,1
병어구이,244,21.4,16.23,0.45,0,1559,90.24,3.92,,0,2,1,0,1
병어조림,92,10.13,3.78,4.15,0.48,577,34.86,1.49,0.12,0,1,0,0,0
병어찌개,54,5.3,2.06,3.4,1.08,485,16.16,0.59,,0,0,0,0,0
보리밥,126.8,2.432,0.238,27.954,0.56,2.2,0,0.076,0,1,0,0,0,1
보신탕,42,3,2.68,2.12,0.53,65,5.02,0.56,,0,0,0,0,0
보쌈김치,41.33333333,2.396666667,1.173333333,5.67,2.076666667,1510.333333,3.493333333,0.12,0,0,0,0,0,0
복 매운탕,31,5.1,0.39,2.25,0.58,228,13.31,0.07,,0,0,0,0,0
복어튀김,298.5,21.67,14.825,18.215,0.31,1059,78.2,2.375,0.15,1,2,1,0,2
복죽,107,2.7,2.73,16.84,0.01,154,12.16,0.42,,1,0,0,0,0
복지리,30,5.6,0.31,1.49,0.35,209,14.78,0.06,,0,0,0,0,0
복찜,36,3.55,0.92,4.11,0.87,137,5.81,0.16,,0,0,0,0,0
볶음 우동,69,2.675,2.7375,7.9475,0.1575,301.25,22.8125,0.515,,0,0,0,0,0
소고기 야끼소바,190,6.55,12.1,13.81,3.86,367,15.33,2.94,0.58,1,0,1,0,1
볶음밥,188,6.24,5.57,28.235,0.895,247,36.795,1.38,0.05,1,0,0,0,1
계란볶음밥,176.2,5.944,4.966,25.966,0.196,152.2,75.446,1.16,0.05,1,0,0,0,1
김치볶음밥,167,4.75,7.81,19.475,7.76,395,55.135,1.395,0.05,1,0,1,1,1
삼선볶음밥,172,6.56,6.62,21.44,0.4,303,81.63,1.58,0.04,1,0,1,0,1
새우볶음밥,118.8333333,4.128333333,2.916666667,18.585,1.142,148.3333333,28.682,0.433333333,0.015,1,0,0,0,1
볼락 매운탕,30,3.5,0.52,2.87,1.27,191,10.22,0.08,,0,0,0,0,0
부대찌개,72.16666667,4.231666667,3.11,6.845,0.841666667,300.8333333,9.46,0.905,0.035,0,0,0,0,0
부추 겉절이,23.5,1.3,0.935,3.515,1.575,160,0,0.135,,0,0,0,0,0
부추 채소무침,22,1.1,0.67,4.01,2.24,171,0,0.08,,0,0,0,0,0
부추 초무침,23,1.1,0.78,3.66,1.76,187,0,0.13,,0,0,0,0,0
부추김치,49.6,2.882,1.68,6.508,3.338,1154,1.844,0.252,0.005,0,0,0,0,0
부추나물,18,1.2,0.88,1.99,0.89,137,0,0.15,,0,0,0,0,0
부추무침,63,2.925,2.8725,7.4425,3.8225,656.5,3.6825,0.44,0.02,0,0,0,0,0
부추잡채,86,5.9,5.29,3.486666667,2.016666667,214.6666667,11.32333333,0.996666667,,0,0,0,0,0
부추전,202.25,5.075,6.645,29.425,3.595,246.25,19.02,1.0625,0.05,1,0,1,0,1
북어강정,399,17.4,20.415,35.505,6.19,2198.5,47.49,3.05,,2,1,2,1,2
북어구이,287,46.5,5.91,10.53,3.15,932,219.37,1.1,,0,2,0,0,2
북어국,28,3.89,0.98,0.84,0.12,232,21.61,0.17,0,0,0,0,0,0
북어양념구이,137,20.3,2.93,6.62,2.29,285,50.61,0.38,,0,2,0,0,1
북어조림,182,20.83,3.33,17.14,8.2,766,99.63,0.67,0.05,1,2,0,1,1
북어찜,118.5,14.365,2.735,9.605,3,418,60.755,0.435,0.07,0,1,0,0,1
북어채 고추장 무침,296,36.6,10.34,14.1,4.13,942,108.12,1.57,,1,2,1,0,2
북어채무침,168.5,25.785,2.78,9.635,3.915,524.5,100.725,0.475,0.02,0,2,0,0,1
분짜,136,5.91,3.66,19.75,5.47,398,17.97,1.15,0.01,1,0,0,1,1
불고기전골,104,5.96,4.34,10.38,5.3,296,19.49,1.18,0.4,0,0,0,1,0
불낙전골,51,4.65,2.2975,3.01,0.6625,144,16.4175,0.66,,0,0,0,0,0
붕어 매운탕,23,3.1,0.7,1.08,0.25,112,7,0.12,,0,0,0,0,0
붕어찜,76,4.94,3.35,6.51,1.47,359,16.93,0.53,0.03,0,0,0,0,0
브로콜리 두부무침,35,2,0.72,6.17,2.31,167,2.47,0.12,,0,0,0,0,0
브로콜리 버섯볶음,24,1.325,1.145,2.9825,0.605,141,0.6525,0.2,,0,0,0,0,0
브로콜리 채소무침,34,1.7,0.35,7.21,2.98,182,4.67,0.07,,0,0,0,0,0
브로콜리무침,32,1.6,0.25,7.01,2.9,175,5.57,0.06,,0,0,0,0,0
브로콜리볶음,51,4.42,1.28,5.53,1.42,94,0,0.22,0,0,0,0,0,0
비름나물,27.66666667,1.9,0.99,4.003333333,0.83,150.3333333,0.003333333,0.16,,0,0,0,0,0
비름나물무침,73,3.46,4.05,5.7,0.86,335,0,0.63,0.1,0,0,0,0,0
비빔 잡곡밥,138,3.6,2.12,25.66,0.68,93,16.33,0.44,,1,0,0,0,1
비빔국수,137,4.52,2.696,23.058,2.985,407.8,24.5125,0.656,0.01,1,0,0,0,1
비빔막국수,104,3.06,0.86,21.47,3.82,256,1.81,0.17,,1,0,0,0,0
비빔밥,150.6666667,5.088333333,4.258333333,22.675,1.92,237.3333333,37.04,1.093333333,0.045,1,0,0,0,1
꼬막비빔밥,103,7.33,3.29,11.01,5.31,469,29.47,0.63,0.05,0,0,0,1,0
돌솥비빔밥,147,5.39,2.95,24.68,1.24,337,9.98,0.33,0.01,1,0,0,0,1
멍게비빔밥,137,4.15,3.28,22.68,4.18,286,5.48,0.6,0.03,1,0,0,0,1
열무비빔밥,143,3.45,2.975,24.41,0.295,117,4.5,0.875,,1,0,0,0,1
육회비빔밥,147,6.39,3.36,22.92,4.45,446,30.56,0.77,0.01,1,0,0,0,1
참치비빔밥,121,5.45,3.76,15.625,0.78,129.5,23.315,0.635,,1,0,0,0,1
비프까스,208,8.1,13.68,12.25,2.51,261,57.57,4.78,,0,1,1,0,1
빙떡(메밀전병),168,6.18,6.29,21.62,0.62,346,8.05,1.19,0.04,1,0,1,0,1
뼈다귀해장국,21,2.7,0.63,0.96,0.36,108,5.86,0.2,,0,0,0,0,0
사골국,40,2.74,1.8575,2.9075,0.135,23.25,9.145,0.625,0.08,0,0,0,0,0
사태찜,110,12.1,5.17,3.67,0.13,302,94.95,1.13,0.14,0,1,0,0,1
산자,366,2.31,3.09,82.17,31.35,23,0,0.09,0,2,0,0,2,2
산적,200,29.06,8.56,1.55,0.06,586,56.15,2.41,0.05,0,2,1,0,1
삶은 땅콩 조림,320,11.43333333,16.40666667,35.76333333,6.473333333,1273.333333,0,2.276666667,,2,1,1,1,2
삼각김밥_고추장불고기,165,3.66,1.58,34.11,0.21,343,3.51,0.45,0.01,1,0,0,0,1
삼각김밥_숯불갈비,161,4,1.67,32.55,0.16,358,4.04,0.53,0.02,1,0,0,0,1
삼각김밥_참치마요네즈,185.5,4.935,5.705,28.7,0.01,256,7.44,0.8,0.02,1,0,0,0,1
삼겹살구이,467,22.56,41.69,0.35,0,576,39.72,12.42,0.34,0,2,2,0,2
삼계탕,78.4,7.464,3.182,4.638,0.508,118,28.354,0.882,0.03,0,1,0,0,0
삼색 오이냉국,17,0.6,0.21,3.52,2.68,234,0,0.04,,0,0,0,0,0
삼색냉채,70.66666667,5.866666667,2.03,7.3,4.173333333,377,56.70333333,0.7,,0,0,0,0,0
삼치 양념구이,189,22.8,4.14,15.38,4.18,570,73.47,0.96,,1,2,0,0,1
삼치구이,106.4,13.566,4.974,1.174,0.044,253,48.846,1.016,0.07,0,1,0,0,0
삼치조림,124.2,13.856,4.57,5.866,2.626,354.2,45.962,0.992,0.04,0,1,0,0,1
삼치찌개,50,6.2,1.28,3.35,1.08,347,16.97,0.27,,0,0,0,0,0
삼치튀김,136,13.75,6.84,3.56,0.015,920.5,71.28,1.33,,0,1,1,0,1
상추 겉절이,29.125,1.21125,1.15625,4.0175,2.02625,204,0.82125,0.16125,0.03,0,0,0,0,0
새송이버섯 구이,59,1.833333333,4.72,4.796666667,0.876666667,258.3333333,0,0.706666667,,0,0,0,0,0
새송이버섯볶음,25,1.52,1.61,3.46,0.28,163,0,0.22,,0,0,0,0,0
새송이버섯전,63,3.16,3.73,5.89,0.17,93,41.21,0.74,,0,0,0,0,0
새싹 샐러드,117,1.4,10.6,5.01,2.49,74,3.03,1.56,,0,0,1,0,1
새우 탕수,198.5,14.6,7.89,16.36,6.28,289.5,137.03,1.295,,1,1,1,1,1
새우구이,89.5,15.405,2.385,1.43,0.015,326.5,148.155,0.395,0.05,0,1,0,0,0
새우무침,321,37,11.77,15.47,8.04,462,411.08,1.77,,1,2,1,1,2
새우볶음,83,9.91,2.21,5.96,3.99,326,79.67,0.38,0.03,0,1,0,0,0
새우전,238.6666667,18.76333333,11.75666667,12.64666667,0.653333333,642.3333333,199.0933333,2.073333333,0.06,0,2,1,0,1
새우젓국,24.33333333,1.966666667,0.9,2.213333333,0.803333333,279,4.263333333,0.146666667,,0,0,0,0,0
새우조림,67,8.2,2.085,3.415,0.58,351.5,62.045,1.115,,0,1,0,0,0
새우탕,38.6,5.994,0.536,2.408,0.724,227.2,42.314,0.09,0,0,0,0,0,0
새우튀김,145,7.1,5.55,16.53,2.215,321.5,28.43,0.845,,1,0,0,0,1
새우튀김롤,202,4.82,6.06,32.09,3.71,464,18.62,1.14,0.04,1,0,1,0,1
샌드위치_B.E.L.T. 샌드위치,206.5,8.02,9.85,25.38,3.95,363,17.05,3.005,0.1,1,1,1,0,1
샌드위치_닭가슴살,240,12.18,11.92,20.96,3.09,438,28.07,3.16,0.17,1,1,1,0,1
감자샐러드,144.5,2.035,9.08,13.945,3.435,276,10.33,1.5,0.06,1,0,1,0,1
단호박샐러드,145,1.355,9.23,14.525,8.875,76,5.43,1.395,0.05,1,0,1,1,1
닭가슴살샐러드,135,7.17,9.49,5.36,3.25,88,10.85,1.21,0.03,0,0,1,0,1
샐러드_새싹,74,2.77,4.81,4.96,2.26,156,12.28,0.62,0.02,0,0,0,0,0
샐러드_양배추,150,2.69,11.71,8.47,7.95,97,5.14,1.79,0.05,0,0,1,1,1
샐러드_양상추,126,4.91,10.3,3.42,1.58,158,0,1.31,0.05,0,0,1,0,1
생선까스,226.2,14.914,11.824,13.536,0.592,454.4,77.328,2.1,0.12,1,1,1,0,1
생선전,179,15.09,10.03,7.02,0.15,468,119.17,2.11,0.06,0,1,1,0,1
소고기 샤브샤브,34,2.71,1.26,2.99,2.36,239,5.6,0.09,0.01,0,0,0,0,0
소고기스키야키,76,6.23,1.78,8.65,3.67,414,12.9,0.33,0.01,0,0,0,0,0
서대구이,161,25.1,5.77,0.71,0,1177,101.01,0.9,,0,2,0,0,1
섞박지,38,2.1,1.04,6.235,2.26,1689,1.215,0.205,,0,0,0,0,0
섞어찌개(모듬찌개),43,2.7,1.705,4.655,1.18,242,4.715,0.49,,0,0,0,0,0
선지해장국,34,4.4,0.98,2.07,0.41,278,12.66,0.28,,0,0,0,0,0
선짓국,37.33333333,3.633333333,1.306666667,3.06,0.683333333,394.6666667,3.363333333,0.366666667,,0,0,0,0,0
설렁탕,34,3.003333333,1.02,2.956666667,0.1,96.66666667,6.966666667,0.343333333,0.02,0,0,0,0,0
세발나물무침,78,3.01,4.25,7.05,3.67,701,0,0.59,0.12,0,0,0,0,0
세발낙지볶음,74.66666667,7,1.826666667,8.036666667,4.083333333,417,47.84333333,0.356666667,,0,0,0,0,0
세발낙지찜,74,5.5,4.31,3.8,0.9,235,35.5,0.68,,0,0,0,0,0
소간 채소볶음,120,10.5,5.29,7.74,3.79,498,118.04,0.92,,0,1,0,0,1
소갈비 구이,232,11.25,16.8225,7,3.9225,428,41.3,5.6775,,0,1,1,0,1
소갈비찜,186,9.595,13.015,6.595,2.805,302.25,34.07,4.595,,0,1,1,0,1
소고기 감자죽,85,2.85,2.355,12.42,0.265,62,6.505,0.655,,0,0,0,0,0
소고기 덮밥,116.3333333,4.1,2.973333333,17.41,0.81,96,10.09,1.196666667,,1,0,0,0,1
소고기 두부국,34,2.8,2.18,0.62,0.04,160,6.14,0.61,,0,0,0,0,0
소고기 떡찜,303,10.6,14.48,32.19,1.45,357,37.11,5.4,,1,1,1,0,2
소고기 무국,23,1.6,1.49,0.53,0.17,135,5.2,0.46,,0,0,0,0,0
소고기 완자전,316,14.1,23.1,10.07,0.19,481.5,79.43,7.165,,0,1,2,0,2
소고기버섯죽,97.5,3.035,2.385,16.1225,0.1025,168.25,5.5625,0.805,0.02,1,0,0,0,0
소고기볶음,186.3333333,8.2,15.18333333,2.996666667,1.343333333,309.6666667,38.11666667,5.6,,0,1,1,0,1
소고기산적,227,24.2,12.78,3.67,0,696,67.42,3.53,0.44,0,2,1,0,1
소고기스튜,187,10.1,11.65,9.23,2.31,310,38.59,4.43,,0,1,1,0,1
소고기육개장,27.66666667,2.19,1.516666667,1.653333333,0.413333333,125.3333333,9.16,0.453333333,,0,0,0,0,0
소고기전골,49,4.296666667,2.576666667,2.23,0.533333333,175.6666667,9.44,0.643333333,0.15,0,0,0,0,0
어복쟁반,37,3.39,1.96,1.41,0.42,232,5.6,0.19,0.01,0,0,0,0,0
소고기찜,119,5.5,8.555,5.06,2.64,163,23.445,3.33,,0,0,1,0,1
소고기채소볶음,163,6.75,12.535,5.295,3.39,297,28.055,4.33,,0,0,1,0,1
소고기튀김,258,10.4,18.92,10.11,1.88,428,70.28,6.59,,0,1,2,0,2
소곱창 구이,171,8.8,11.89,3.71,2.43,296,190.33,2.84,,0,1,1,0,1
소곱창 볶음,178,9,13.58,4.99,1.79,369,97.88,3.11,,0,1,1,0,1
소금빵,373,7.27,16.36,49.09,9.09,545,0,9.09,0,2,0,1,1,2
소내장구이,92,6.75,6.53,0.75,0.1,57,120.37,1.83,,0,0,1,0,0
소등심 스테이크,236.25,11.1,19.3425,2.69,1.7725,172.5,57.82,8.1525,,0,1,2,0,1
소등심구이,317.25,15.9,26.77,0.195,0,312.25,80.3325,11.0225,,0,1,2,0,2
소라무침,122,18.7,1.58,7.46,2,55,42.2,0.26,,0,2,0,0,1
소라산적,150,22.4,3.14,8.06,1.06,496,125.43,0.47,0.02,0,2,0,0,1
