,url,title,calories,carbohydrates,protein,fat,ingredients
52,https://www.10000recipe.com/recipe/6995956,생일상으로 딱 <하트맛살전> : 사랑하는 마음을 담아서 짜란,540,12,52,30,"맛살, 계란, 참치캔, 청양고추, 양파, 소금, 후추"
53,https://www.10000recipe.com/recipe/6983042,쪽파계란말이 만들기-딸에게#,320,3,28,21,"계란, 맛술, 참치액, 쪽파, 기름"
54,https://www.10000recipe.com/recipe/6992063,"내 인생 레시피,친정 엄마표 “파채무침”",1120,94,18,76,"파, 양파, 식초, 간장, 설탕, 고춧가루, 참기름, 통깨"
55,https://www.10000recipe.com/recipe/6957003,단짠단짠 마성의 베이컨덮밥♡,1020,27,45,80,"베이컨, 양파, 진간장, 설탕, 맛술, 마늘, 굴소스"
56,https://www.10000recipe.com/recipe/6933414,#최애반찬#소세지강정,3150,180,150,210,"비엔나 소세지, 양파, 캐첩, 간장, 설탕, 식초, 굴소스, 올리고당"
57,https://www.10000recipe.com/recipe/7030325,도토리묵무침,300,20,15,20,"도토리묵, 파, 참기름, 조미김, 통깨, 소금, 후추"
58,https://www.10000recipe.com/recipe/7036904,우삼겹 콩나물 불고기,2380,144,156,132,"우삼겹, 콩나물, 고추장, 진간장, 맛술, 설탕, 간마늘, 다시다, 후추"
59,https://www.10000recipe.com/recipe/6994258,[밑반찬] 10분 밑반찬 딱딱하지않고 부드러운 오징어채,1020,23,57,80,"오징어채, 맛술, 마요네즈, 식용유, 마늘, 고추장, 고추가루, 간장, 올리고당, 설탕, 마요네즈, 참기름, 깨"
60,https://www.10000recipe.com/recipe/7011685,베이컨 떡말이 어린이 간식 간단 술안주,3200,640,100,60,"떡볶이떡, 베이컨, 파슬리, 머스타드"
61,https://www.10000recipe.com/recipe/7039745,카레 부추 볶음밥,3150,297,63,195,"밥, 카레가루, 버터, 올리브유, 부추, 마늘, 통깨, 달걀, 식용유"
62,https://www.10000recipe.com/recipe/7035098,새콤달콤 무생채 레시피 아삭한 무생채 만드는 법,420,78,15,6,"무, 고춧가루, 식초, 설탕, 까나리액젓, 마늘, 파, 소금, 깨"
63,https://www.10000recipe.com/recipe/7001752,아이 반찬 콩나물 & 크래미 무침 - 아이들 콩나물과 친해져요.,540,33,45,27,"콩나물, 크래미, 파, 소금, 들기름, 깨소금"
64,https://www.10000recipe.com/recipe/7020127,베이컨 반찬 베이컨숙주볶음 레시피,540,17,23,42,"베이컨, 숙주, 청양고추, 파, 식용유, 통깨, 쪽파, 간장, 맛술, 굴소스, 마늘, 올리고당"
65,https://www.10000recipe.com/recipe/7045765,"4.봄 곰취 장아찌(ft.면역력 올리기,계절음식)(2025.2.24)",320,74,5,1,"잎넓은 곰취, 고추, 청양고추, 정종, 다시마, 진간장, 사탕수수 원당, 매실액, 식초"
66,https://www.10000recipe.com/recipe/7042590,시금치 오일 파스타 레시피,650,70,25,30,"시금치, 새우, 방울토마토, 마늘, 파스타, 소금, 후추, 참치액, 올리브유"
67,https://www.10000recipe.com/recipe/7018178,유아반찬~굴소스어묵소세지볶음!,1120,38,52,85,"납작 어묵, 프랑크소세지, 파, 올리브유, 마늘, 굴소스, 올리고당, 참기름, 통깨"
68,https://www.10000recipe.com/recipe/7030722,가지나물,210,30,6,8,"가지, 마늘, 쪽파, 깨소금, 국간장, 참기름, 소금"
69,https://www.10000recipe.com/recipe/6912734,버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,186,13,4,13,"새송이버섯, 버터, 어린잎채소, 간장, 맛술, 올리고당"
70,https://www.10000recipe.com/recipe/7038084,견과류 품은 멸치볶음; 잔멸치 볶음 손이 가요 손이가~,1740,53,94,135,"잔멸치, 아몬드, 호두, 진간장, 올리브유, 올리고당, 설탕, 맛술, 마요네즈, 통깨"
71,https://www.10000recipe.com/recipe/7003451,"간단하게 만드는 밥도둑, 팽이버섯두부조림",540,50,40,20,"두부, 팽이버섯, 파, 간장, 맛술, 마늘, 올리고당, 고춧가루, 후추"
72,https://www.10000recipe.com/recipe/7014762,[공모전] 뜨끈한 국물요리 소고기미역국,1050,23,84,69,"소고기, 미역, 참기름, 소금, 국간장"
73,https://www.10000recipe.com/recipe/7042638,버섯계란누룽지죽,1025,94,53,50,"누룽지, 팽이버섯, 계란, 파, 다시마멸치 액젓, 연두, 참기름, 깨"
74,https://www.10000recipe.com/recipe/6984423,간단하고 맛있게 대파소시지달걀볶음밥 만들기,1025,77,41,63,"파, 소세지, 달걀, 밥, 진간장, 굴소스, 소금, 후추, 참기름"
75,https://www.10000recipe.com/recipe/7018922,"크래미에 깻잎을 말아 구운 향긋한 전요리, 크래미깻잎전",1020,97,47,50,"크래미, 깻잎, 달걀, 부침가루, 소금, 식용유"
76,https://www.10000recipe.com/recipe/6981985,다이어트 식단 브로콜리 두부무침 만드는 법,315,23,24,16,"브로콜리, 두부, 마늘, 간장, 멸치액젓, 참기름, 깨소금, 밀가루, 소금, 식초"
77,https://www.10000recipe.com/recipe/7006705,알배추 두부참치롤 도리돌돌 말면 한입컷,460,10,45,26,"알배추, 두부, 참치, 계란, 소금, 후추"
78,https://www.10000recipe.com/recipe/7007710,두부소보로덮밥 고소해서 자꾸 먹고 싶어지는 맛,420,12,25,30,"두부, 파, 진간장, 굴소스, 올리고당, 계란노른자, 들기름, 깨소금"
79,https://www.10000recipe.com/recipe/7007197,구운 참치 간장 주먹밥 레시피 / 아이들 입맛 저격! 자취생도 해먹기 좋은 초간단 주먹밥,540,53,31,22,"밥, 참치, 간장, 참기름, 깨, 후추"
80,https://www.10000recipe.com/recipe/7040785,[스팸마요덮밥] 업그레이드 비법소스로 간단히 만드는 한끼식사 | 신혼밥상,1230,33.5,86.5,84.5,"스팸, 계란, 김가루, 마요네즈, 케첩, 맛술엿, 진간장, 굴소스"
81,https://www.10000recipe.com/recipe/7045621,초간단 참치 비빔밥,540,10,38,38,"참치캔, 상추, 파로밥, 볶음 고추장, 참기름, 달걀"
82,https://www.10000recipe.com/recipe/7044793,"라면스프를 이용한 간단한 해장레시피,누룽지라죽",620,50,20,35,"누룽지, 계란, 라면스프, 참기름"
83,https://www.10000recipe.com/recipe/7002422,우삼겹콩나물국 레시피,1050,32,68,75,"우삼겹, 콩나물, 파, 고춧가루, 맛술, 국간장, 액젓, 마늘"
84,https://www.10000recipe.com/recipe/6933760,♥[신혼밥상] 팽이버섯 덮밥,315,18,16,20,"팽이버섯, 파, 양파, 달걀, 참기름, 통깨, 간장, 굴소스, 설탕, 맛술"
85,https://www.10000recipe.com/recipe/7014608,"10분컷, 아보카도 간장와사비 계란밥",676,77,21,34,"밥, 아보카도, 계란, 간장, 와사비"
86,https://www.10000recipe.com/recipe/6992944,다이어트 식단 표에 넣기 좋은 원팬 양파 볶음밥,1050,97,97,33,"양파, 슬라이스 마늘, 밥, 올리브유, 간장, 후추, 굴소스, 깨, 달걀, 닭가슴살"
87,https://www.10000recipe.com/recipe/6957535,[마늘종볶음]단짠단짠 자꾸만 손이가요~,1025,38.5,74.3,66.8,"건새우, 마늘쫑, 소금, 설탕, 간장, 식용유, 참기름엿, 통깨"
88,https://www.10000recipe.com/recipe/7004960,"밀가루 없이 두부도우로 피자만들기, 두부피자",780,32,80,36,"두부, 토마토소스, 양파, 방울토마토, 닭가슴살, 모짜렐라 치즈"
89,https://www.10000recipe.com/recipe/4030952,아삭아삭한 고추된장박이,68.5,10.6,2.1,2.3,"고추, 된장, 마늘, 송송썰은 파, 참기름, 통깨, 매실원액, 설탕"
90,https://www.10000recipe.com/recipe/6915088,밥도둑 반찬 고추장 달걀조림 만들기!TV 알토란 레시피,1870,123,116,108,"달걀, 양파, 청양고추, 쪽파, 멸치육수, 고추장, 고춧가루, 진간장, 설탕엿, 참기름, 깨, 후추"
91,https://www.10000recipe.com/recipe/6843136,달콤 짭조름♡ 떡 베이컨 간장조림♡,1250,90,35,80,"베이컨, 파, 떡, 간장, 참기름엿, 기름"
92,https://www.10000recipe.com/recipe/7022766,명란으로 감칠맛 더한 다이어트 한 끼! 명란오이비빔밥,380,38,23,15,"명란, 오이, 밥, 달걀, 두부, 간장, 들기름"
93,https://www.10000recipe.com/recipe/6997077,양배추오믈렛..,1020,20,68,78,"계란, 양배추, 소금, 모짜렐라 치즈, 식용유, 케찹"
94,https://www.10000recipe.com/recipe/7011840,간단 콩나물반찬 콩나물요리 매운 콩나물무침 빨간 콩나물무침,315,23,10,20,"콩나물, 파, 소금, 식용유, 고춧가루, 국간장, 참기름, 깨소금, 소금"
95,https://www.10000recipe.com/recipe/7009241,매콤오이채무침 레시피 한끼반찬 오이요리,85,4,2,7,"오이, 고춧가루, 국간장, 참기름, 통깨"
96,https://www.10000recipe.com/recipe/7042593,애호박전 꽃보다 예쁘게 만드는 레시피,1165,92,52,68,"애호박, 계란, 고추, 소금, 참치액젓, 부침가루, 식용유"
97,https://www.10000recipe.com/recipe/7022709,이유식 큐브 이용 소고기 순두부 죽,540,64,38,14,"죽, 오트밀죽, 소고기, 순두부, 새송이, 브로콜리"
98,https://www.10000recipe.com/recipe/7044033,우엉조림 우엉채조림 황금레시피,1096,158,16,45,"우엉, 다시마, 진간장, 설탕엿, 식용유, 들기름, 통깨"
99,https://www.10000recipe.com/recipe/6907091,초간단 5분반찬!아삭아삭 '고추쌈장무침',105,10,2,7,"오이고추, 쌈장, 고춧가루, 올리고당, 참기름, 마늘, 깨"
100,https://www.10000recipe.com/recipe/6962486,[다이어트요리] 새싹 두부 비빔밥 만드는 법,315,47,12,8,"두부, 새싹채소, 현미밥, 고추장, 꿀, 마늘, 참기름, 참깨, 매실액"
101,https://www.10000recipe.com/recipe/7017649,다이어트식으로 딱 알배추 두부말이구이,215,15,15,12,"알배추, 두부, 간장, 고추가루, 마늘, 청양고추, 설탕, 참기름"
102,https://www.10000recipe.com/recipe/7002329,상큼한 크래미 오이 숙주무침,320,47,12,10,"숙주, 크래미, 오이, 마늘, 설탕, 식초, 소금, 후추, 통깨, 참기름"
103,https://www.10000recipe.com/recipe/7025424,무조림 만들기,0,0,0,0,"고추장, 고춧가루, 진간장, 국간장, 마늘, 설탕, 된장, 멸치육수, 무"
