url,title,ingredients
https://www.10000recipe.com/recipe/7018178,유아반찬~굴소스어묵소세지볶음!,"납작 어묵, 프랑크소세지, 파, 올리브유, 마늘, 굴소스, 올리고당, 참기름, 통깨"
https://www.10000recipe.com/recipe/7037873,얼갈이무침 이렇게 만들면 정말 맛있어요 얼갈이들깨무침 레시피,"얼갈이, 마늘, 국간장, 갈은깨, 들기름, 들깨가루, 소금"
https://www.10000recipe.com/recipe/6912734,버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,"새송이버섯, 버터, 어린잎채소, 간장, 맛술, 올리고당"
https://www.10000recipe.com/recipe/6984423,간단하고 맛있게 파소세지달걀볶음밥 만들기,"파, 소세지, 달걀, 밥, 진간장, 굴소스, 소금, 후추, 참기름"
https://www.10000recipe.com/recipe/7003451,"간단하게 만드는 밥도둑, 팽이버섯두부조림","두부, 팽이버섯, 파, 간장, 맛술, 마늘, 올리고당, 고춧가루, 후추"
https://www.10000recipe.com/recipe/7038084,견과류 품은 멸치볶음; 잔멸치 볶음 손이 가요 손이가~,"잔멸치, 아몬드, 호두, 진간장, 올리브유, 올리고당, 설탕, 맛술, 마요네즈, 통깨"
https://www.10000recipe.com/recipe/7007197,구운 참치 간장 주먹밥 레시피 / 아이들 입맛 저격! 자취생도 해먹기 좋은 초간단 주먹밥,"밥, 참치, 간장, 참기름, 깨, 후추"
https://www.10000recipe.com/recipe/7006705,알배추 두부참치롤 도리돌돌 말면 한입컷,"알배추, 두부, 참치, 계란, 소금, 후추"
https://www.10000recipe.com/recipe/6981985,다이어트 식단 브로콜리 두부무침 만드는 법,"브로콜리, 두부, 마늘, 간장, 멸치액젓, 참기름, 깨소금, 밀가루, 소금, 식초"
https://www.10000recipe.com/recipe/7018922,"크래미에 깻잎을 말아 구운 향긋한 전요리, 크래미깻잎전","크래미, 깻잎, 달걀, 부침가루, 소금, 식용유"
https://www.10000recipe.com/recipe/7007710,두부소보로덮밥 고소해서 자꾸 먹고 싶어지는 맛,"두부, 파, 진간장, 굴소스, 올리고당, 계란노른자, 들기름, 깨소금"
https://www.10000recipe.com/recipe/7040785,[스팸마요덮밥] 업그레이드 비법소스로 간단히 만드는 한끼식사 | 신혼밥상,"스팸, 계란, 김가루, 마요네즈, 케첩, 맛술엿, 진간장, 굴소스"
https://www.10000recipe.com/recipe/6992944,다이어트 식단 표에 넣기 좋은 원팬 양파 볶음밥,"양파, 슬라이스 마늘, 밥, 올리브유, 간장, 후추, 굴소스, 깨, 달걀, 닭가슴살"
