url,title,ingredients,칼로리,탄수화물,단백질,지방
https://www.10000recipe.com/recipe/7021205,소고기당면전골 레시피,"소고기 300g, 느타리버섯 0.5봉, 청양고추 2개, 콩나물 2줌, 팽이버섯 0.5봉, 당면 1줌, 고추장 1스푼, 고춧가루 2스푼, 국간장 3스푼, 액젓 2스푼, 다진마늘 1스푼, 후추 약간",1230,68,108,58
https://www.10000recipe.com/recipe/6882435,"당신의 다이어트를 책임져줄, 닭가슴살 고구마 볶음","닭가슴살 300g, 고구마작은 것 작은 것, 대파 1개, 간장 3숟가락, 다진 마늘 1숟가락, 후추 약간, 설탕 1/2숟가락, 올리고당 1숟가락, 미림 2숟가락, 참기름 약간, 검은깨 약간",780,90,70,15
https://www.10000recipe.com/recipe/6998798,닭가슴살 쌈장 만드는 법 상추 쌈밥 도시락,"밥 1공기, 상추 9장, 참기름 1작은술, 통깨 1작은술, 소금 약간, 식용유 1큰술, 닭가슴살 40g, 고추장 1작은술, 된장 1작은술, 물 1작은술, 청주 1작은술, 다진 마늘 1큰술, 올리고당 1작은술, 후춧가루 약간",415,45,25,15
https://www.10000recipe.com/recipe/7039850,깐풍만두 깐풍소스 만드는법,"고향 만두 20개, 대파 1/2대, 양파 1/2개, 홍고추 1개, 청양고추 1개, 식용유 넉넉하게, 설탕 2스푼, 식초 2스푼, 진간장 2스푼, 굴소스 1스푼, 케첩 1스푼, 다진 마늘 1스푼, 물 1/2컵",2150,238,52,116
https://www.10000recipe.com/recipe/7029684,바삭바삭하고 촉촉한 감자치즈전,"감자 4개, 토마토 1개, 전분 3스푼, 모짜렐라치즈 적당히, 소금 약간, 후추 약간",1040,144,52,32
https://www.10000recipe.com/recipe/7005355,어니언링 만들기 겉은 바삭하고 양파는 촉촉해요!,"양파 1개, 달걀 3알, 튀김가루 1/2컵, 빵가루 1컵, 파슬리가루 1스푼, 식용유 적당량",1740,166,57,99
https://www.10000recipe.com/recipe/7017631,쫀득해서 계속 손이 가는 고구마맛탕쿠키,"고구마 2개, 달걀 1개, 꿀 1숟가락, 전분가루 1숟가락, 검은깨 약간",385,70,11,7
https://www.10000recipe.com/recipe/6918300,오늘 저녁은 채식위주로??? 에어프라이어표 버섯채소구이 ★,"새송이버섯 1개, 양송이버섯 3개, 빨강파프리카 1/2개, 노랑파프리카 1/2개, 양파 1/4개, 가지 1/4개, 애호박 1/4개, 소금 약간, 후추 약간, 올리브오일 5숟가락",315,23,4,24
https://www.10000recipe.com/recipe/6953644,초간단 요리 다이어트 레시피 닭가슴살 양배추 덮밥,"닭가슴살 100g, 양배추 100~200g, 대파 1/2개, 올리브유 1T, 고추기름 1T, 굴소스 1T, 후추 조금",315,10,38,14
https://www.10000recipe.com/recipe/6875696,참치 맛 가루 (후리 가케),"참치 캔 150g, 간장 1큰술, 맛술 1큰술, 설탕 1티스푼",315,8,36,15
https://www.10000recipe.com/recipe/6913806,♥[신혼밥상] 닭가슴살양배추말이,"닭가슴살통조림 1개, 양배추 1/4, 당근 1개, 오이 1개, 칠리소스 3스푼",540,45,60,10
https://www.10000recipe.com/recipe/6922742,다이어터들의 영양간식!두부참치스테이크 만들기!,"두부 300g, 참치 200g, 파 적당량, 달걀 2개, 소금 0.5T, 후추 적당량, 부침가루 4T",1065,74,97,41
https://www.10000recipe.com/recipe/6857754,새우 is 뭔들~ 카레버터새우볶음,"새우 15마리, 양파 1/2개, 당근 1/3개, 마늘 10알, 청양고추 1-2개, 식용유 1T, 버터 1t, 카레가루 0.5T, 후추 약간, 소금 약간, 청주 1T, 소금 1꼬집, 후추 약간",345,15,20,22
https://www.10000recipe.com/recipe/6924357,매콤하게 사랑받는 삼겹살 강정,"두툼한 돼지고기 300-400g, 부침가루 1밥숟가락, 튀김가루 2밥숟가락, 식용유 0.5밥숟가락, 케첩 3밥숟가락, 고추장 1밥숟가락, 설탕 1밥숟가락, 다진마늘 0.5밥숟가락, 올리고당 2밥숟가락, 간장 2밥숟가락",1650,97,85,110
